system   D            wsystem.c:583  maybe_parent_dir                 [   0.00143] Also searching G:\My Document\My Project\Blasteroids\
display  D   display_settings.c:506  _al_score_display_settings       [   0.05290] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05291] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05293] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05294] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05295] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05297] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05298] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05299] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05301] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05303] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05305] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05313] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05315] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05316] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05319] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05320] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05321] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05322] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05324] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05325] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05326] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05328] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05329] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05330] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05332] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05333] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05334] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05335] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05337] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05338] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05339] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05341] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05342] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05345] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05346] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05348] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05349] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05350] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05352] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05353] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05355] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05356] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05357] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05359] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05360] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05361] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05362] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05364] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05365] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05366] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05368] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05369] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05370] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05372] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05373] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05374] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05375] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05377] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05378] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05379] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05380] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05382] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05383] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05384] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05385] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05387] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05388] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05389] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05390] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05392] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05393] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05394] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05395] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05397] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05398] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05399] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05401] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05402] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05404] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05406] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05407] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.05408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05409] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05412] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05413] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05415] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05416] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05417] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05418] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05421] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05422] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05423] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05425] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05426] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05427] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05429] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05430] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05432] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05440] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05441] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05442] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05444] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05445] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05446] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05448] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.05450] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.05452] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.05454] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.05509] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.05514] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.07389] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.10605] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.10609] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.10611] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.10614] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.10617] Returning d3d_display: 006A7380
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.10618] al_display=006A7380
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.10619] al_display->vt=006A72B8
dtor     D               dtor.c:184  _al_register_destructor          [   0.10672] added dtor for object 006B5CD8, func 0FDF27A7
